kind	source_ref	source_head	commit_subject	commit_date	run_id	original_path	archive_path	blob_sha
current	evidence/pr439-w2-diag-head	b15366ced301f988af3b72817839b6f463ce1e71	test(evidence): contain unrelated FM-03 in W2 diagnostic	2026-09-23T15:07:53Z		src/match-engine/tests/W2TackleDiagnosticEvidenceTests.cs	docs/tracking/evidence/pr439-ref-archive/current/w2-diag-head/src/match-engine/tests/W2TackleDiagnosticEvidenceTests.cs.txt	51b5f26e6c02e576eba9862e8ae86612e8bda8c3
history	evidence/pr439-header-reachability	257ffc4f3f7b95ef354ef9f326ec20707fdd9354	test(evidence): count header lifecycle stages for #441	2026-09-23T16:10:56Z		src/heading-mechanics/HeadingMechanics.cs	docs/tracking/evidence/pr439-ref-archive/history/header-reachability/257ffc4f3f7b/src/heading-mechanics/HeadingMechanics.cs.txt	959e37f7c7a38430c75f5dfd3130cf3906965e74
history	evidence/pr439-header-reachability	2e0b6329c44328128955bca60d5c8ea0d127159c	ci(evidence): run frozen #441 header reachability census	2026-09-23T16:12:11Z	35887103114	.github/workflows/pr439-header-reachability.yml	docs/tracking/evidence/pr439-ref-archive/history/header-reachability/2e0b6329c443/.github/workflows/pr439-header-reachability.yml.txt	5a344a1bdba0fa2983b64b274962a12407b7d9da
history	evidence/pr439-header-reachability	5d32e925479230f879d7d96d42dd9279dadcb9c0	test(evidence): parallelize frozen #441 seed census	2026-09-23T16:15:11Z	35887451692	src/match-engine/tests/W3HeaderReachabilityEvidenceTests.cs	docs/tracking/evidence/pr439-ref-archive/history/header-reachability/5d32e9254792/src/match-engine/tests/W3HeaderReachabilityEvidenceTests.cs.txt	695ac07f1ce17c2784cd5022f1e69dd1915be45e
history	evidence/pr439-header-reachability	860566304387cebb6a2eb007321cca147f697933	test(evidence): count active header overwrites	2026-09-23T16:11:27Z		src/heading-mechanics/HeadingMechanics.cs	docs/tracking/evidence/pr439-ref-archive/history/header-reachability/860566304387/src/heading-mechanics/HeadingMechanics.cs.txt	a3f21890f217deb615313bcfb173d0fcbb1d034e
history	evidence/pr439-header-reachability	bcb08abfbf32586055e01b15427c3e1db5aca7a7	test(evidence): expose #441 header lifecycle census	2026-09-23T16:11:09Z		src/match-engine/MatchEngine.cs	docs/tracking/evidence/pr439-ref-archive/history/header-reachability/bcb08abfbf32/src/match-engine/MatchEngine.cs.txt	7ebb0d103e3c9753f4c5eac6584ff2912eebcd74
history	evidence/pr439-header-reachability	c325f1940562e53747b59d957e18f5dfe2ea45f2	test(evidence): expose header overwrite count	2026-09-23T16:11:38Z		src/match-engine/MatchEngine.cs	docs/tracking/evidence/pr439-ref-archive/history/header-reachability/c325f1940562/src/match-engine/MatchEngine.cs.txt	425f730399b6597d3a061d9c3aa0ab2ac53a44fb
history	evidence/pr439-header-reachability	e389f6260a7c6900c224ec9bd1b6cf76c85933d7	test(evidence): add frozen #441 header reachability census	2026-09-23T16:12:08Z		src/match-engine/tests/W3HeaderReachabilityEvidenceTests.cs	docs/tracking/evidence/pr439-ref-archive/history/header-reachability/e389f6260a7c/src/match-engine/tests/W3HeaderReachabilityEvidenceTests.cs.txt	2782d8237a702cfcb7b93a57a0bcc7639bc6def1
history	evidence/pr439-m7-order-mutation	42ea88a79a9f0dad5071cefafda24f5a2ff35656	test(evidence): reverse SeasonLoop serve/commit order	2026-09-23T15:04:05Z		src/season-save/SeasonLoop.cs	docs/tracking/evidence/pr439-ref-archive/history/m7-order-mutation/42ea88a79a9f/src/season-save/SeasonLoop.cs.txt	921509a940910af6e2dfdbf7587787a77a7b7c38
history	evidence/pr439-w2-diag-base	1ba99b8e79864d2a41d513cdefefa7877c7da29f	ci(evidence): run PR439 W2 diagnostic	2026-09-23T15:02:26Z	35878618102	.github/workflows/pr439-w2-three-arm-diagnostic.yml	docs/tracking/evidence/pr439-ref-archive/history/w2-diag-base/1ba99b8e7986/.github/workflows/pr439-w2-three-arm-diagnostic.yml.txt	dec67b35de829d79f9cc6169b5d9139b4ed2d85a
history	evidence/pr439-w2-diag-base	5b2bac9f9bd5d3eb6aaf269e797704cefda45c08	test(evidence): add W2 three-arm diagnostic	2026-09-23T15:02:21Z		src/match-engine/tests/W2TackleDiagnosticEvidenceTests.cs	docs/tracking/evidence/pr439-ref-archive/history/w2-diag-base/5b2bac9f9bd5/src/match-engine/tests/W2TackleDiagnosticEvidenceTests.cs.txt	e81e859db5bfa2b4c7a6fd09bee2dab6775b8a11
history	evidence/pr439-w2-diag-base	878cef88c3eef24214761f7cae6a5e60b1baf61e	test(evidence): add disposable W2 resolver observer	2026-09-23T15:02:18Z		src/match-engine/MatchEngine.cs	docs/tracking/evidence/pr439-ref-archive/history/w2-diag-base/878cef88c3ee/src/match-engine/MatchEngine.cs.txt	fa1e948abf78d79f6045bcd5c856f4cf153740f4
history	evidence/pr439-w2-diag-head	3934b3af7b1da557c99d582d705fa4dfc13c9791	test(evidence): add disposable W2 resolver observer	2026-09-23T15:02:54Z		src/match-engine/MatchEngine.cs	docs/tracking/evidence/pr439-ref-archive/history/w2-diag-head/3934b3af7b1d/src/match-engine/MatchEngine.cs.txt	041f1a565a00f40de56a1311f1a3ed8b0229b466
history	evidence/pr439-w2-diag-head	5c75a6cf5b6c6e8988ad34f6a96051a74389a4c4	ci(evidence): run PR439 W2 diagnostic	2026-09-23T15:03:05Z	35878699989	.github/workflows/pr439-w2-three-arm-diagnostic.yml	docs/tracking/evidence/pr439-ref-archive/history/w2-diag-head/5c75a6cf5b6c/.github/workflows/pr439-w2-three-arm-diagnostic.yml.txt	dec67b35de829d79f9cc6169b5d9139b4ed2d85a
history	evidence/pr439-w2-diag-head	a91911b473496bdddba6d12a9e80cee99663e6f3	test(evidence): add W2 three-arm diagnostic	2026-09-23T15:03:01Z		src/match-engine/tests/W2TackleDiagnosticEvidenceTests.cs	docs/tracking/evidence/pr439-ref-archive/history/w2-diag-head/a91911b47349/src/match-engine/tests/W2TackleDiagnosticEvidenceTests.cs.txt	e81e859db5bfa2b4c7a6fd09bee2dab6775b8a11
