kind	source_ref	source_head	commit_subject	commit_date	run_id	original_path	archive_path	blob_sha
current	evidence/pr439-w2-diag-w3	fe99bae58045151c91653dc0c8da90b8679c35c8	test(evidence): contain unrelated FM-03 in W2 diagnostic	2026-09-23T15:07:49Z	35879288048	.github/workflows/pr439-w2-three-arm-diagnostic.yml	docs/tracking/evidence/pr439-ref-archive/current/w2-diag-w3/.github/workflows/pr439-w2-three-arm-diagnostic.yml.txt	dec67b35de829d79f9cc6169b5d9139b4ed2d85a
current	evidence/pr439-w2-diag-w3	fe99bae58045151c91653dc0c8da90b8679c35c8	test(evidence): contain unrelated FM-03 in W2 diagnostic	2026-09-23T15:07:49Z	35879288048	src/match-engine/MatchEngine.cs	docs/tracking/evidence/pr439-ref-archive/current/w2-diag-w3/src/match-engine/MatchEngine.cs.txt	8fd57c073f2c74ce6ee6f896e73db84b470a9414
current	evidence/pr439-w2-diag-w3	fe99bae58045151c91653dc0c8da90b8679c35c8	test(evidence): contain unrelated FM-03 in W2 diagnostic	2026-09-23T15:07:49Z	35879288048	src/match-engine/tests/W2TackleDiagnosticEvidenceTests.cs	docs/tracking/evidence/pr439-ref-archive/current/w2-diag-w3/src/match-engine/tests/W2TackleDiagnosticEvidenceTests.cs.txt	51b5f26e6c02e576eba9862e8ae86612e8bda8c3
history	evidence/pr439-w2-diag-w3	10c65631d1ac17db942ea79df685534dc5026eac	test(evidence): add disposable W2 resolver observer	2026-09-23T15:02:36Z		src/match-engine/MatchEngine.cs	docs/tracking/evidence/pr439-ref-archive/history/w2-diag-w3/10c65631d1ac/src/match-engine/MatchEngine.cs.txt	8fd57c073f2c74ce6ee6f896e73db84b470a9414
history	evidence/pr439-w2-diag-w3	4354ec689b9c89bf8634bb085d6d5cf2263e8208	test(evidence): add W2 three-arm diagnostic	2026-09-23T15:02:42Z		src/match-engine/tests/W2TackleDiagnosticEvidenceTests.cs	docs/tracking/evidence/pr439-ref-archive/history/w2-diag-w3/4354ec689b9c/src/match-engine/tests/W2TackleDiagnosticEvidenceTests.cs.txt	e81e859db5bfa2b4c7a6fd09bee2dab6775b8a11
history	evidence/pr439-w2-diag-w3	754c7ab9bfb4e8916359edea84b34f5fec566be6	ci(evidence): run PR439 W2 diagnostic	2026-09-23T15:02:46Z	35878656931	.github/workflows/pr439-w2-three-arm-diagnostic.yml	docs/tracking/evidence/pr439-ref-archive/history/w2-diag-w3/754c7ab9bfb4/.github/workflows/pr439-w2-three-arm-diagnostic.yml.txt	dec67b35de829d79f9cc6169b5d9139b4ed2d85a
