kind	source_ref	source_head	commit_subject	commit_date	run_id	original_path	archive_path	blob_sha
current	evidence/pr439-w3-prewire-six-seed	cf36526ce6ecd64632133780ed98ca0afe46c987	ci(evidence): run frozen PR439 pre-W3 arm	2026-09-23T03:47:55Z	35815761065	.github/workflows/pr439-w3-prewire-six-seed.yml	docs/tracking/evidence/pr439-ref-archive/current/w3-prewire-six-seed/.github/workflows/pr439-w3-prewire-six-seed.yml.txt	d7c0413bb90f0bbe40f7335de83f82af186e5dec
current	evidence/pr439-w3-prewire-six-seed	cf36526ce6ecd64632133780ed98ca0afe46c987	ci(evidence): run frozen PR439 pre-W3 arm	2026-09-23T03:47:55Z	35815761065	src/match-engine/tests/FoulRateDiagnosticTests.cs	docs/tracking/evidence/pr439-ref-archive/current/w3-prewire-six-seed/src/match-engine/tests/FoulRateDiagnosticTests.cs.txt	5f2c30f4eda2f05ace6e72a8e61f9432946fd0be
current	evidence/pr439-w3-prewire-six-seed	cf36526ce6ecd64632133780ed98ca0afe46c987	ci(evidence): run frozen PR439 pre-W3 arm	2026-09-23T03:47:55Z	35815761065	tools/dotnet-ci/parse_foul_card_characterization.py	docs/tracking/evidence/pr439-ref-archive/current/w3-prewire-six-seed/tools/dotnet-ci/parse_foul_card_characterization.py.txt	f8b5fa4b4c8f5b8d3644e5a52eee31573ef4d779
history	evidence/pr439-w3-prewire-six-seed	6f2ed037576b4862c0e2f30de19727ba6397c3f3	test(evidence): backport W3 prewire census transform	2026-09-23T03:47:12Z		src/match-engine/tests/FoulRateDiagnosticTests.cs	docs/tracking/evidence/pr439-ref-archive/history/w3-prewire-six-seed/6f2ed037576b/src/match-engine/tests/FoulRateDiagnosticTests.cs.txt	5f2c30f4eda2f05ace6e72a8e61f9432946fd0be
history	evidence/pr439-w3-prewire-six-seed	ccb7bf67dcc745185b80e35cd00b1c2bb07dea2e	tools(evidence): parse prewire W3 zero census	2026-09-23T03:47:27Z		tools/dotnet-ci/parse_foul_card_characterization.py	docs/tracking/evidence/pr439-ref-archive/history/w3-prewire-six-seed/ccb7bf67dcc7/tools/dotnet-ci/parse_foul_card_characterization.py.txt	f8b5fa4b4c8f5b8d3644e5a52eee31573ef4d779
