kind	source_ref	source_head	commit_subject	commit_date	run_id	original_path	archive_path	blob_sha
current	evidence/pr439-w6-prefixtest	a6cfa40703c74ca42848ae1deaa44ba99f61fe4d	ci(evidence): prove PR439 W6 regression fails pre-fix	2026-09-23T03:15:43Z	35813627716	.github/workflows/pr439-w6-prefix-evidence.yml	docs/tracking/evidence/pr439-ref-archive/current/w6-prefixtest/.github/workflows/pr439-w6-prefix-evidence.yml.txt	0d6b9c82fbdf240017be5b03f53d6c3066aa54f7
current	evidence/pr439-w6-prefixtest	a6cfa40703c74ca42848ae1deaa44ba99f61fe4d	ci(evidence): prove PR439 W6 regression fails pre-fix	2026-09-23T03:15:43Z	35813627716	src/match-engine/tests/MatchEngineControlledBallW6Tests.cs	docs/tracking/evidence/pr439-ref-archive/current/w6-prefixtest/src/match-engine/tests/MatchEngineControlledBallW6Tests.cs.txt	de053f58c253a2b1f8c7ffc2da30395ef9508a80
history	evidence/pr439-w6-prefixtest	2f7231d7a7d6bf8cc8f8126f94cab221be961ca4	test(evidence): add W6 resolve-attachment discriminator	2026-09-23T03:15:21Z		src/match-engine/tests/MatchEngineControlledBallW6Tests.cs	docs/tracking/evidence/pr439-ref-archive/history/w6-prefixtest/2f7231d7a7d6/src/match-engine/tests/MatchEngineControlledBallW6Tests.cs.txt	de053f58c253a2b1f8c7ffc2da30395ef9508a80
