kind	source_ref	source_head	commit_subject	commit_date	run_id	original_path	archive_path	blob_sha
current	evidence/pr439-w3-prearm-20260922	b8b59a41fe56cf6a5ac67e952435cfb8a0707317	ci(evidence): fix pre-W3 harness syntax	2026-09-23T03:35:31Z	35814941362	.github/workflows/pr439-w3-prearm-evidence.yml	docs/tracking/evidence/pr439-ref-archive/current/w3-prearm-20260922/.github/workflows/pr439-w3-prearm-evidence.yml.txt	ad2e32a9a10f99b2d107d289a8158eb7029ee792
current	evidence/pr439-w3-prearm-20260922	b8b59a41fe56cf6a5ac67e952435cfb8a0707317	ci(evidence): fix pre-W3 harness syntax	2026-09-23T03:35:31Z	35814941362	src/match-engine/tests/FoulRateDiagnosticTests.cs	docs/tracking/evidence/pr439-ref-archive/current/w3-prearm-20260922/src/match-engine/tests/FoulRateDiagnosticTests.cs.txt	380f9ee34b7ff629b2c57172842437b31e51a25e
current	evidence/pr439-w3-prearm-20260922	b8b59a41fe56cf6a5ac67e952435cfb8a0707317	ci(evidence): fix pre-W3 harness syntax	2026-09-23T03:35:31Z	35814941362	tools/dotnet-ci/parse_foul_card_characterization.py	docs/tracking/evidence/pr439-ref-archive/current/w3-prearm-20260922/tools/dotnet-ci/parse_foul_card_characterization.py.txt	e81987356b4a9483d7d6e47f14e17384ca3c179c
history	evidence/pr439-w3-prearm-20260922	0d0af3dc01e03f9b9d7098b96ea9f1fe87e2e745	tools(evidence): verify pre-W3 structural zero arm	2026-09-23T03:33:58Z		tools/dotnet-ci/parse_foul_card_characterization.py	docs/tracking/evidence/pr439-ref-archive/history/w3-prearm-20260922/0d0af3dc01e0/tools/dotnet-ci/parse_foul_card_characterization.py.txt	e81987356b4a9483d7d6e47f14e17384ca3c179c
history	evidence/pr439-w3-prearm-20260922	50e61f04732f950c74fec512ab378b37e3a4848c	ci(evidence): run governed PR439 pre-W3 six-seed arm	2026-09-23T03:34:32Z	35814874360	.github/workflows/pr439-w3-prearm-evidence.yml	docs/tracking/evidence/pr439-ref-archive/history/w3-prearm-20260922/50e61f04732f/.github/workflows/pr439-w3-prearm-evidence.yml.txt	15e3fad77199afb226ec4db72360d093e78ed2cc
history	evidence/pr439-w3-prearm-20260922	f1bedbe35c12fa0ede8033df5fc072f5ad0a7af9	test(evidence): add governed pre-W3 six-seed census	2026-09-23T03:33:41Z		src/match-engine/tests/FoulRateDiagnosticTests.cs	docs/tracking/evidence/pr439-ref-archive/history/w3-prearm-20260922/f1bedbe35c12/src/match-engine/tests/FoulRateDiagnosticTests.cs.txt	380f9ee34b7ff629b2c57172842437b31e51a25e
