role	run_id	artifact_id	evidence_branch	evidence_head	production_sha	result	artifact_zip_sha256	artifact_expiry
landing-head-canonical	35925236129	10779846684	evidence/pr439-w3-six-seed-rerun-20260923	3f391fed45795a9c4f22bc601e187dd2cbe0e39a	bab4cd41b232cbbe4820279e7d456c505bdab77b	success	f0b7978e36ae64074eed9cc198b6629af878eda40b7885f416adf1cb6247f1b4	2026-12-22T21:54:06Z
original-post-w3	35814050060	10731556057	evidence/pr439-w3-six-seed-20260922	7347b0452d8143c5b540575b4db1f882302f1988	f40f0853909cc2a42190023fea1da72d25409b12	success	5f044a005facd2274d1953e98af12e28670cbd8e68175dea7a6fb08c0bdf029a	2026-12-22T03:22:15Z
header-reachability	35887487201		evidence/pr439-header-reachability	7494300341cae94ed3eae41033d874e23cac0b06	f40f0853909cc2a42190023fea1da72d25409b12	success		
