scope	seed	fromBehindCandidates	fromBehindPricedCandidates	fromBehindCalled	fromBehindWavedOn	fromBehindCandidatesDroppedByStrongerSameTick	fromBehindSentOffSlotOccupancies	fromBehindCandidatesShadowedBySentOffWinner	candidateDisplacedByDecided	foulCooldownSuppressionsFromBehind	pricedCandidateIdentityChecks	pricedCandidateIdentityMismatches	slideTackleCandidates	slideTackleCalled	slideTackleCallsDuringFoulCooldown	slideTackleRaisedDuringCooldownApplied	slideTackleCallsDuringCollisionSuppressionWindow	slideTackleRaisedDuringCollisionSuppressionApplied	totalFouls	yellowCards	straightReds	secondYellowDismissals	totalDismissals	playedTicks	agentBallFanoutEvents	claimEligibilityEpisodes	registeredDuelParticipants	resolvedHandContactDuels	successfulKeeperClaims	crossAttempts	crossCompletions	loftedAttempts	loftedCompletions	headerAttempts	headerContacts
seed	0x0F1E2D3C4B5A6978	141	139	4	135	0	0	0	0	2	4	0	1	1	0	0	0	0	5	1	0	0	0	323999	0	0	0	0	0	174	7	357	7	318	0
seed	0x00000000D1A6D05E	117	114	6	108	0	0	0	0	3	6	0	1	1	0	0	0	0	7	1	0	0	0	323999	0	0	0	0	0	203	5	331	14	311	0
seed	0x0000000000000001	127	121	9	112	2	0	0	0	4	9	0	0	0	0	0	0	0	9	0	0	0	0	323999	0	0	0	0	0	205	10	313	5	284	0
seed	0x00000000ABCDEF12	122	122	6	116	0	0	0	0	0	6	0	3	3	0	0	0	0	9	2	0	0	0	323999	0	0	0	0	0	160	8	338	8	322	0
seed	0x0000000099887766	137	129	7	122	0	0	0	0	8	7	0	2	2	0	0	0	0	9	1	0	0	0	323999	0	0	0	0	0	162	7	346	8	312	0
seed	0x000000005A5A5A5A	129	120	10	110	1	0	0	0	8	10	0	1	1	0	0	0	0	11	0	1	0	1	323999	0	0	0	0	0	163	6	329	20	298	0
aggregate	ALL	773	745	42	703	3	0	0	0	25	42	0	8	8	0	0	0	0	50	5	1	0	1	1943994	0	0	0	0	0	1067	43	2014	62	1845	0
