dSquad,homeGoals,awayGoals,matchSeed,homeDelta,awayDelta,homeBaseClubId,awayBaseClubId
-1.8211155,0,1,6985987171132216657,-1,1,0,1
-2.0410557,1,1,13737280562172179158,-1,1,1,2
-2.2316713,0,0,13623035613030393207,-1,1,2,3
-1.700881,4,2,14004682179893929760,-1,1,3,4
-2.0850449,0,4,16755626200696358079,-1,1,4,5
-2.1202345,0,6,13615703937399747724,-1,1,5,0
-1.8621712,0,1,17672060227178006781,-1,1,0,2
-2.272726,0,0,13730864169152308935,-1,1,1,3
-1.9325523,1,2,931957555573193512,-1,1,2,4
-1.7859249,1,3,2769094669862014223,-1,1,3,5
-2.2052794,2,2,15393547016848815988,-1,1,4,0
-1.941349,0,2,10719900865010017269,-1,1,5,1
-2.0938416,0,3,9628997031598248860,-1,1,0,3
-1.9736071,0,1,6225787324198109688,-1,1,1,4
-2.0175962,2,1,9967747815432373657,-1,1,2,5
-1.9061594,2,0,10344669420328755072,-1,1,3,0
-2.026394,1,1,18301412374260785164,-1,1,4,1
-1.9824047,0,3,15079455876235648214,-1,1,5,2
-0.8211155,1,2,9597153893744507070,0,1,0,1
-1.0410557,0,1,4994567737823035801,0,1,1,2
-1.2316704,2,1,10330518064880268990,0,1,2,3
-0.700881,0,1,13292063139440971619,0,1,3,4
-1.0850439,2,2,14556373999758734405,0,1,4,5
-1.1202345,1,0,8902836075862825075,0,1,5,0
-0.8621712,0,3,14132569778630715531,0,1,0,2
-1.272726,0,1,5273837268011473449,0,1,1,3
-0.9325514,3,6,15066268021613967040,0,1,2,4
-0.7859249,3,0,8049070383015249022,0,1,3,5
-1.2052784,0,2,18074534270369789263,0,1,4,0
-0.941349,0,0,7080209389176376660,0,1,5,1
-1.0938416,0,2,12666181672850574859,0,1,0,3
-0.97360706,0,0,8981245345874150377,0,1,1,4
-1.0175953,0,1,8174362260259456511,0,1,2,5
-0.9061594,1,2,14394260014225594690,0,1,3,0
-1.0263929,1,0,16243462849445698771,0,1,4,1
-0.9824047,2,1,13588834047023632507,0,1,5,2
0.1788845,0,1,6667866931013924176,0,0,0,1
-0.04105568,1,1,18326133336849348628,0,0,1,2
-0.23167038,1,3,9036943912425500531,0,0,2,3
0.299119,1,4,4046627272072135969,0,0,3,4
-0.08504391,2,0,6516466403220557543,0,0,4,5
-0.120233536,1,0,11061041170417210132,0,0,5,0
0.13782883,1,2,2264684973906654492,0,0,0,2
-0.27272606,0,0,12394412866318927400,0,0,1,3
0.067448616,6,0,355030017604296824,0,0,2,4
0.21407509,2,0,12014025464805731438,0,0,3,5
-0.20527744,2,3,13182747883656656604,0,0,4,0
0.05865097,1,0,11211768698553617572,0,0,5,1
-0.09384155,0,1,12012573861481565798,0,0,0,3
0.026392937,2,1,10672942138987127920,0,0,1,4
-0.017595291,4,1,1451022364443904948,0,0,2,5
0.09384155,1,0,13665283460027464482,0,0,3,0
-0.026392937,1,0,17116819493241821688,0,0,4,1
0.017595291,0,2,13253820524696178452,0,0,5,2
