dSquad,homeGoals,awayGoals,matchSeed,homeDelta,awayDelta,homeBaseClubId,awayBaseClubId
0.299119,4,2,6134757530948041973,0,0,3,4
-0.08504391,2,0,16293986254127914975,0,0,4,5
-0.120233536,3,4,824040717058266279,0,0,5,0
0.13782883,0,1,6385139597446821076,0,0,0,2
-0.27272606,0,2,1598626865971656538,0,0,1,3
0.067448616,2,1,14706774562689682233,0,0,2,4
0.21407509,1,0,10890598806311097500,0,0,3,5
-0.20527744,1,1,14305115267999276138,0,0,4,0
0.05865097,3,2,14091919375128841915,0,0,5,1
-0.09384155,1,4,6077930587218734265,0,0,0,3
0.026392937,1,0,16149849173591088903,0,0,1,4
-0.017595291,4,1,715310355462403273,0,0,2,5
0.09384155,3,0,9001083000492963629,0,0,3,0
-0.026392937,0,1,38382788518740259,0,0,4,1
0.017595291,1,3,7190674570947769149,0,0,5,2
0.20527744,3,2,51751107076731346,0,0,0,4
-0.05865097,0,0,17240074552020594838,0,0,1,5
-0.13782883,2,1,2430971494907231333,0,0,2,0
0.27272606,3,0,16875246010413017026,0,0,3,1
-0.067448616,1,3,16553851937009038712,0,0,4,2
-0.21407509,1,3,18107000178954753374,0,0,5,3
0.120233536,2,0,1839158392462131392,0,0,0,5
-0.1788845,2,1,12933074741021349465,0,0,1,0
0.04105568,9,0,4897501093897983257,0,0,2,1
0.23167038,2,2,4555311681462108860,0,0,3,2
-0.299119,1,2,10296917003925801223,0,0,4,3
0.08504391,1,0,13785247009169313759,0,0,5,4
0.1788845,0,1,83812611473218178,0,0,0,1
-0.04105568,0,3,16738049455609357243,0,0,1,2
-0.23167038,1,2,900569117139489645,0,0,2,3
0.299119,1,1,3063188867148126559,0,0,3,4
-0.08504391,3,4,12828711546451976354,0,0,4,5
-0.120233536,2,1,7996900209363408276,0,0,5,0
0.13782883,1,0,16337255556726391290,0,0,0,2
-0.27272606,1,1,5686979999632471081,0,0,1,3
0.067448616,0,2,4040064673917697538,0,0,2,4
0.21407509,3,0,17257145466989988390,0,0,3,5
-0.20527744,3,0,5416019414541371931,0,0,4,0
0.05865097,0,1,14381272353242856013,0,0,5,1
-0.09384155,0,1,9831227988574948576,0,0,0,3
0.026392937,3,2,16049255602106223205,0,0,1,4
-0.017595291,5,2,10419273470327347639,0,0,2,5
0.09384155,1,0,1847138006182864634,0,0,3,0
-0.026392937,1,1,9332047662064085190,0,0,4,1
0.017595291,1,2,9908368802890562893,0,0,5,2
