dSquad,homeGoals,awayGoals,matchSeed,homeDelta,awayDelta,homeBaseClubId,awayBaseClubId
0.20527744,1,1,17134790482182757593,0,0,0,4
-0.05865097,0,0,6301851603102893903,0,0,1,5
-0.13782883,0,1,9875035592407939580,0,0,2,0
0.27272606,3,1,15569678492614940144,0,0,3,1
-0.067448616,0,6,17120502802052771046,0,0,4,2
-0.21407509,1,5,1506354161990732199,0,0,5,3
0.120233536,0,1,16249005140215199412,0,0,0,5
-0.1788845,2,0,16706509117608216402,0,0,1,0
0.04105568,1,0,13435352302441998058,0,0,2,1
0.23167038,1,1,11017771614294103769,0,0,3,2
-0.299119,0,1,6786221174538418516,0,0,4,3
0.08504391,2,1,17862680012392513511,0,0,5,4
0.1788845,0,0,11365628303127241126,0,0,0,1
-0.04105568,0,2,17435597248268478014,0,0,1,2
-0.23167038,1,1,14545591913910863259,0,0,2,3
0.299119,6,4,3614946723055477049,0,0,3,4
-0.08504391,0,1,9073637224933481316,0,0,4,5
-0.120233536,1,1,10887165448429732638,0,0,5,0
0.13782883,1,1,7082328634543131225,0,0,0,2
-0.27272606,0,2,6339496552477539858,0,0,1,3
0.067448616,2,1,570021615716557760,0,0,2,4
0.21407509,2,0,15278372860194271837,0,0,3,5
-0.20527744,1,2,655070444688559104,0,0,4,0
0.05865097,0,1,13329281786667224528,0,0,5,1
-0.09384155,1,3,7106913789770613796,0,0,0,3
0.026392937,0,0,13492951615290567250,0,0,1,4
-0.017595291,0,0,7721384167667604544,0,0,2,5
0.09384155,3,1,13763736208464033107,0,0,3,0
-0.026392937,2,0,12589047027600046874,0,0,4,1
0.017595291,1,0,2721319639398697682,0,0,5,2
0.20527744,1,0,13750184331679361184,0,0,0,4
-0.05865097,3,0,16364726885642268892,0,0,1,5
-0.13782883,0,2,10251957315547868140,0,0,2,0
0.27272606,2,0,11220104469874323170,0,0,3,1
-0.067448616,0,3,16003356810850176613,0,0,4,2
-0.21407509,0,2,8682778439735641547,0,0,5,3
0.120233536,0,1,10187936806017949468,0,0,0,5
-0.1788845,0,0,8635603776794467401,0,0,1,0
0.04105568,1,0,15796639930826164394,0,0,2,1
0.23167038,3,1,11924924639586590263,0,0,3,2
-0.299119,2,3,16634872859517882727,0,0,4,3
0.08504391,2,4,13629057238826904314,0,0,5,4
0.1788845,1,1,12283150169274081496,0,0,0,1
-0.04105568,0,2,5453901938947257082,0,0,1,2
-0.23167038,1,6,14607072764753858647,0,0,2,3
