dSquad,homeGoals,awayGoals,matchSeed,homeDelta,awayDelta,homeBaseClubId,awayBaseClubId
4.1788855,1,0,7190432617483001724,2,-2,0,1
3.9589453,1,0,16662668841943351434,2,-2,1,2
3.7683296,2,2,7514976578650593100,2,-2,2,3
4.29912,3,0,12361297674682007537,2,-2,3,4
3.914957,3,0,17933546505588998168,2,-2,4,5
3.8797665,5,0,15675891022161021481,2,-2,5,0
4.1378307,6,2,11942148560901242554,2,-2,0,2
3.727274,1,1,7338419177785533857,2,-2,1,3
4.0674496,1,0,14648786077535276386,2,-2,2,4
4.214075,1,0,3703356627268535823,2,-2,3,5
3.7947235,9,1,7633296184892073622,2,-2,4,0
4.058651,1,0,4250092132097406125,2,-2,5,1
3.9061594,0,0,8177192914437059809,2,-2,0,3
4.026394,2,0,14627663371846262106,2,-2,1,4
3.9824047,2,0,7220073813992186546,2,-2,2,5
4.0938416,2,0,16901369313466803215,2,-2,3,0
3.973608,5,0,2693742647412473365,2,-2,4,1
4.0175962,2,1,3132345666415649033,2,-2,5,2
5.1788855,4,0,5986829044562830669,2,-3,0,1
4.9589458,3,0,11141384633120501863,2,-3,1,2
4.768329,4,0,5811064171352641540,2,-3,2,3
5.299119,9,0,9299994939049769349,2,-3,3,4
4.9149566,2,1,5778694454222711144,2,-3,4,5
4.879766,6,0,18397323749431365503,2,-3,5,0
5.137831,5,0,13528729567748337600,2,-3,0,2
4.7272735,4,0,9861807743474454568,2,-3,1,3
5.0674486,2,0,5550004106082361185,2,-3,2,4
5.2140746,1,0,11500702284344882387,2,-3,3,5
4.794723,4,1,8878627691526180572,2,-3,4,0
5.058651,4,0,16363235200452702288,2,-3,5,1
4.906159,2,1,15589898271266472984,2,-3,0,3
5.026393,10,0,15203299949961777037,2,-3,1,4
4.982404,2,0,7488922057355360906,2,-3,2,5
5.093841,3,0,3074910309796641388,2,-3,3,0
4.973608,9,0,7787216860151388308,2,-3,4,1
5.0175967,7,2,15598187725312708122,2,-3,5,2
