dSquad,homeGoals,awayGoals,matchSeed,homeDelta,awayDelta,homeBaseClubId,awayBaseClubId
-4.818182,0,2,12719494192145819112,-2,3,0,1
-5.0410557,1,3,7236451127969062337,-2,3,1,2
-5.2316723,0,3,12707418315950395610,-2,3,2,3
-4.6979475,0,3,300981901300215718,-2,3,3,4
-5.0821123,1,3,10491283816393884775,-2,3,4,5
-5.1202345,1,6,3702017544307722357,-2,3,5,0
-4.862171,0,0,8124311935582880542,-2,3,0,2
-5.272727,1,9,11040515432364396619,-2,3,1,3
-4.929619,0,2,13188262067103956056,-2,3,2,4
-4.7829924,1,3,16954329323843209966,-2,3,3,5
-5.2052794,0,2,15022477809072504808,-2,3,4,0
-4.9384155,0,1,4834455297328032115,-2,3,5,1
-5.0938425,0,1,7253477879424600085,-2,3,0,3
-4.9706736,0,4,5523211609428216432,-2,3,1,4
-5.0146637,0,5,4363138709405140703,-2,3,2,5
-4.9061594,2,1,12416367476901875904,-2,3,3,0
-5.0234604,0,2,15374628765355216183,-2,3,4,1
-4.9824047,0,2,9107298789222792181,-2,3,5,2
-3.8211155,0,3,15151515056344824876,-2,2,0,1
-4.0410557,0,3,4865859440366325286,-2,2,1,2
-4.2316713,1,2,15190966135511770711,-2,2,2,3
-3.700882,3,1,4354294828713500970,-2,2,3,4
-4.085045,2,3,16147567088552441461,-2,2,4,5
-4.1202345,1,3,5927740143742245550,-2,2,5,0
-3.8621712,0,2,14157140628070088484,-2,2,0,2
-4.272726,0,2,9697593779200881888,-2,2,1,3
-3.9325533,1,3,11233924428601928287,-2,2,2,4
-3.785925,0,2,17330067527614017098,-2,2,3,5
-4.2052794,1,7,298790933345964868,-2,2,4,0
-3.941349,0,3,3834676799972012856,-2,2,5,1
-4.0938416,0,4,11261877551872330217,-2,2,0,3
-3.973608,0,3,16460329070169344564,-2,2,1,4
-4.0175962,1,3,9081105308437720510,-2,2,2,5
-3.9061594,0,2,12087402008765657106,-2,2,3,0
-4.026394,0,1,12508306761682754505,-2,2,4,1
-3.9824047,0,5,7643266301120596530,-2,2,5,2
-2.8211155,0,2,11851297907685685295,-1,2,0,1
-3.0410557,1,1,692931457434519392,-1,2,1,2
-3.2316713,0,4,13622971537012255538,-1,2,2,3
-2.700882,0,1,1362640650478200156,-1,2,3,4
-3.0850449,0,4,1615815891257920911,-1,2,4,5
-3.1202345,0,5,9821434708498215915,-1,2,5,0
-2.8621712,0,1,13946960694238549793,-1,2,0,2
-3.272726,0,4,445680142249814030,-1,2,1,3
-2.9325533,1,4,11232490710407159534,-1,2,2,4
-2.785925,0,0,3037877646230367862,-1,2,3,5
-3.2052794,1,2,9267831161732182204,-1,2,4,0
-2.941349,0,1,11084336296096325250,-1,2,5,1
-3.0938416,0,1,3143337660138002790,-1,2,0,3
-2.973608,1,3,9644039414510042350,-1,2,1,4
-3.0175962,2,2,10827006602131298944,-1,2,2,5
-2.9061594,2,1,11477974664670564568,-1,2,3,0
-3.026394,0,2,11519109260329119658,-1,2,4,1
-2.9824047,0,0,8739222124144407696,-1,2,5,2
