dSquad,homeGoals,awayGoals,matchSeed,homeDelta,awayDelta,homeBaseClubId,awayBaseClubId
0.20527744,3,4,6587600236858596583,0,0,0,4
-0.05865097,1,0,16492508270595336106,0,0,1,5
-0.13782883,1,1,7858607911577100248,0,0,2,0
0.27272606,1,1,14901964051531676942,0,0,3,1
-0.067448616,1,0,7578794421501329158,0,0,4,2
-0.21407509,1,1,10853866713217952428,0,0,5,3
0.120233536,1,0,3713612901016026614,0,0,0,5
-0.1788845,3,0,12294144682153169834,0,0,1,0
0.04105568,3,1,5554629688241735782,0,0,2,1
0.23167038,4,0,5582748873244373931,0,0,3,2
-0.299119,1,2,10972921473223742614,0,0,4,3
0.08504391,1,2,12959813770034043065,0,0,5,4
0.1788845,1,1,13187041287558024337,0,0,0,1
-0.04105568,3,3,2139026882992012039,0,0,1,2
-0.23167038,0,0,6184708445574367565,0,0,2,3
0.299119,4,1,7060262891139934125,0,0,3,4
-0.08504391,3,1,2503142497219953603,0,0,4,5
-0.120233536,0,1,12579128766778045080,0,0,5,0
0.13782883,0,1,15334959979991893577,0,0,0,2
-0.27272606,0,1,6086490960897367056,0,0,1,3
0.067448616,2,1,1337835199177053181,0,0,2,4
0.21407509,1,0,16444249548378127948,0,0,3,5
-0.20527744,6,1,13706633856223965706,0,0,4,0
0.05865097,0,2,9722666746557835743,0,0,5,1
-0.09384155,3,1,18408277977413599062,0,0,0,3
0.026392937,2,1,16463973095149806740,0,0,1,4
-0.017595291,1,0,10255198322315781024,0,0,2,5
0.09384155,3,1,13743249608109310240,0,0,3,0
-0.026392937,1,2,14922144785720812510,0,0,4,1
0.017595291,2,0,8634857531163369113,0,0,5,2
0.20527744,1,1,10241743040940102013,0,0,0,4
-0.05865097,2,1,10170554566037294949,0,0,1,5
-0.13782883,1,1,14963234446570855078,0,0,2,0
0.27272606,2,0,1257667161157715559,0,0,3,1
-0.067448616,1,3,18106923215300610377,0,0,4,2
-0.21407509,0,3,7311745767288075346,0,0,5,3
0.120233536,4,0,4981948785860861561,0,0,0,5
-0.1788845,2,1,17732028339515229093,0,0,1,0
0.04105568,1,0,16631712344548502598,0,0,2,1
0.23167038,2,1,12449732237029641327,0,0,3,2
-0.299119,0,3,17018599301344936842,0,0,4,3
0.08504391,3,2,7433365315776144421,0,0,5,4
0.1788845,1,2,6563266201283618568,0,0,0,1
-0.04105568,0,0,18186584304660403348,0,0,1,2
-0.23167038,2,4,13899373707689557428,0,0,2,3
