scope	test_name	outcome	multiplicity
coverage	AddBan_NegativeMatches_Throws	Passed	1
coverage	AddYellow_AtIntMaxValue_ThrowsOverflowException_EntryUnmodified	Passed	1
coverage	AddYellow_CrossingThresholdWithBanNearIntMaxValue_ThrowsOverflowException_EntryUnmodified	Passed	1
coverage	AddingOrDroppingAModule_ChangesTheHash	Passed	1
coverage	AdvanceAndPlayNextRound_BeforeTheFixtureDay_FailsLoud	Passed	1
coverage	AdvanceAndPlayNextRound_EveryClubInTheRoundGainsExactlyOnePlayed	Passed	1
coverage	AdvanceAndPlayNextRound_MarksFixturesPlayedAndAppliesGoalsToTheTable	Passed	1
coverage	AdvanceAndPlayNextRound_NullProvider_FailsLoud	Passed	1
coverage	AdvanceAndPlayNextRound_PastTheLastRound_FailsLoud	Passed	1
coverage	AdvanceAndPlayNextRound_ResolvesEveryFixtureAndAdvancesTheCursor	Passed	1
coverage	AdvanceAndPlayNextRound_UnresolvableClub_FailsLoud	Passed	1
coverage	AdvanceAndPlayNextRound_WithADifferentProvider_FailsLoud	Passed	1
coverage	AdvanceDay_AGrowthBandYear_SpendsExactlyOnePoint	Passed	1
coverage	AdvanceDay_ASeedInsideTheGrowthRamp_CarriesAFraction_NotALostPoint	Passed	1
coverage	AdvanceDay_AWholeGrowthBandTraversal_GainsExactlyOnePointPerYear_AndLeavesNoResidue	Passed	1
coverage	AdvanceDay_AcrossAGap_MatchesDayByDay	Passed	1
coverage	AdvanceDay_AdvancesCalendarAndDecaysSalience	Passed	1
coverage	AdvanceDay_AtRetirementAge_FlagsButDoesNotRemove	Passed	1
coverage	AdvanceDay_AtTheBaselineAge_FlagsTheOutfielder_ButNotTheGoalkeeper	Passed	1
coverage	AdvanceDay_AtTheSentinelWorldDay_IsRefused	Passed	1
coverage	AdvanceDay_AtWorldDayZero_EachAgeBandAccruesItsOwnStepFromTheBootstrapAge	Passed	1
coverage	AdvanceDay_BackwardCall_DoesNotEvaluateRetirement	Passed	1
coverage	AdvanceDay_BackwardCall_DoesNotRegressTheCursor	Passed	1
coverage	AdvanceDay_BatchClubIdMismatchAtAnIndex_IsRefused_EvenWhenPlayerIdsAndLengthsAgree	Passed	1
coverage	AdvanceDay_BatchEntryUnbound_IsRefused	Passed	1
coverage	AdvanceDay_BatchMissingAClub_IsRefused	Passed	1
coverage	AdvanceDay_BatchWithAWrongPlayerCount_IsRefused	Passed	1
coverage	AdvanceDay_BatchWithAWrongPlayerId_IsRefused	Passed	1
coverage	AdvanceDay_BelowRetirementAge_DoesNotFlag	Passed	1
coverage	AdvanceDay_BelowTheBaselineAge_FlagsTheWeakReader_ButNotTheSharpOne	Passed	1
coverage	AdvanceDay_ExpiresArcsPastTheirLifetime	Passed	1
coverage	AdvanceDay_FirstCall_ReplaysFromTheSeedDay	Passed	1
coverage	AdvanceDay_NeutralBatch_IsAcceptedAndIsTheIdentity	Passed	1
coverage	AdvanceDay_OneDayBelowTheSentinel_StillAdvancesNormally	Passed	1
coverage	AdvanceDay_TwiceOnTheSameDay_IsANoOp	Passed	1
coverage	AdvanceDays_DrivesSlot1_AndEachPlayerAccruesHisOwnBandStep	Passed	1
coverage	AdvanceDays_LeavesTheWorldDigestUntouched	Passed	1
coverage	AdvanceDays_NegativeDays_FailsLoud	Passed	1
coverage	AdvanceDays_PastTheNextSeasonsOpeningDay_FailsLoudRatherThanStrandingTheCareer	Passed	1
coverage	AdvanceDays_PastThePendingFixtureDay_FailsLoud	Passed	1
coverage	AdvanceMedicalDay_NeverWritesAttributes	Passed	1
coverage	AdvanceMedicalDay_RecoversAnInjuredPlayerAndReleasesHim	Passed	1
coverage	AdvanceMedicalDay_WithTheDialOff_NeverInjuresAnyone	Passed	1
coverage	AdvanceMedicalDay_WithTheDialOn_DrawsInjuries	Passed	1
coverage	AdvanceState_SetsState_AndBoundsCheck	Passed	1
coverage	AdvanceToNextFixtureDay_AdvancesExactlyToTheFixtureDay	Passed	1
coverage	AdvanceToNextFixtureDay_SeasonComplete_FailsLoud	Passed	1
coverage	AdvanceToNextFixtureDay_WhenAlreadyOnTheDay_AdvancesNothing	Passed	1
coverage	AdvanceTo_EntryWhoseApplicationPointHasPassed_Throws	Passed	1
coverage	AdvanceTo_IsIncremental_AcrossRepeatedCalls	Passed	1
coverage	AdvanceTo_LeavesAnEntryStampedAtTheTargetTickPending	Passed	1
coverage	AdvanceTo_NullSession_Throws	Passed	1
coverage	AdvanceTo_ReStampsEachCommandAtItsRecordedTick	Passed	1
coverage	AdvanceTo_TargetBehindCurrentTick_Throws	Passed	1
coverage	AdvanceTrainingDay_AccruesConditioningForEveryPlayer	Passed	1
coverage	AdvanceTrainingDay_AgainstAnUnreconciledRoster_FailsLoud	Passed	1
coverage	AdvanceTrainingDay_IsIdempotentPerWorldDay	Passed	1
coverage	AdvanceTrainingDay_NeverWritesAttributes_TTRNEU002	Passed	1
coverage	AdvanceTrainingDay_OnBalanced_NeverAccruesTrainingFatigue	Passed	1
coverage	AdvanceTrainingDay_WithADayGap_FailsLoud	Passed	1
coverage	AdvancedOneRound_MovesCursorAndLeavesOriginalUnchanged	Passed	1
coverage	AdvancedStatline_RefusesAWrongSizedOrNegativeGrid	Passed	1
coverage	AdvancedStatline_RefusesXgWithoutAProducer	Passed	1
